starttime	seconds	ctime	dtime	ttime	wait
Sat Aug 09 09:50:16 2014	1407570616	358	655	1013	655
Sat Aug 09 09:50:16 2014	1407570616	356	660	1015	659
Sat Aug 09 09:50:16 2014	1407570616	355	662	1016	662
Sat Aug 09 09:50:16 2014	1407570616	355	666	1021	666
Sat Aug 09 09:50:16 2014	1407570616	355	667	1022	667
Sat Aug 09 09:50:16 2014	1407570616	356	668	1024	668
Sat Aug 09 09:50:16 2014	1407570616	355	669	1024	669
Sat Aug 09 09:50:16 2014	1407570616	360	665	1025	665
Sat Aug 09 09:50:16 2014	1407570616	356	670	1025	670
Sat Aug 09 09:50:16 2014	1407570616	356	671	1027	671
Sat Aug 09 09:50:16 2014	1407570616	336	692	1028	692
Sat Aug 09 09:50:16 2014	1407570616	356	672	1028	672
Sat Aug 09 09:50:16 2014	1407570616	356	673	1029	673
Sat Aug 09 09:50:16 2014	1407570616	343	686	1029	686
Sat Aug 09 09:50:16 2014	1407570616	356	674	1030	674
Sat Aug 09 09:50:16 2014	1407570616	356	675	1032	675
Sat Aug 09 09:50:16 2014	1407570616	356	676	1032	676
Sat Aug 09 09:50:16 2014	1407570616	359	675	1033	675
Sat Aug 09 09:50:16 2014	1407570616	356	678	1034	678
Sat Aug 09 09:50:16 2014	1407570616	356	679	1035	678
Sat Aug 09 09:50:16 2014	1407570616	356	681	1037	681
Sat Aug 09 09:50:16 2014	1407570616	358	680	1038	680
Sat Aug 09 09:50:16 2014	1407570616	355	683	1038	683
Sat Aug 09 09:50:16 2014	1407570616	357	682	1039	682
Sat Aug 09 09:50:16 2014	1407570616	357	683	1040	683
Sat Aug 09 09:50:16 2014	1407570616	357	684	1042	684
Sat Aug 09 09:50:16 2014	1407570616	343	700	1042	699
Sat Aug 09 09:50:16 2014	1407570616	356	687	1043	687
Sat Aug 09 09:50:16 2014	1407570616	343	700	1043	700
Sat Aug 09 09:50:16 2014	1407570616	343	701	1044	701
Sat Aug 09 09:50:16 2014	1407570616	357	688	1046	688
Sat Aug 09 09:50:16 2014	1407570616	343	704	1047	704
Sat Aug 09 09:50:16 2014	1407570616	357	690	1047	690
Sat Aug 09 09:50:16 2014	1407570616	357	691	1048	691
Sat Aug 09 09:50:16 2014	1407570616	357	693	1049	693
Sat Aug 09 09:50:16 2014	1407570616	358	692	1050	692
Sat Aug 09 09:50:16 2014	1407570616	357	694	1050	694
Sat Aug 09 09:50:16 2014	1407570616	344	707	1052	707
Sat Aug 09 09:50:16 2014	1407570616	357	695	1052	695
Sat Aug 09 09:50:16 2014	1407570616	358	696	1053	696
Sat Aug 09 09:50:16 2014	1407570616	336	717	1053	717
Sat Aug 09 09:50:16 2014	1407570616	345	709	1054	709
Sat Aug 09 09:50:16 2014	1407570616	344	710	1054	710
Sat Aug 09 09:50:16 2014	1407570616	358	698	1056	698
Sat Aug 09 09:50:16 2014	1407570616	337	719	1056	719
Sat Aug 09 09:50:16 2014	1407570616	344	712	1056	712
Sat Aug 09 09:50:16 2014	1407570616	346	711	1057	711
Sat Aug 09 09:50:16 2014	1407570616	345	713	1058	713
Sat Aug 09 09:50:16 2014	1407570616	337	721	1058	720
Sat Aug 09 09:50:16 2014	1407570616	345	714	1058	714
Sat Aug 09 09:50:16 2014	1407570616	337	721	1058	721
Sat Aug 09 09:50:16 2014	1407570616	337	722	1059	722
Sat Aug 09 09:50:16 2014	1407570616	345	715	1060	715
Sat Aug 09 09:50:16 2014	1407570616	345	717	1061	717
Sat Aug 09 09:50:16 2014	1407570616	346	716	1062	716
Sat Aug 09 09:50:16 2014	1407570616	337	725	1062	725
Sat Aug 09 09:50:16 2014	1407570616	363	701	1063	700
Sat Aug 09 09:50:16 2014	1407570616	346	718	1064	718
Sat Aug 09 09:50:16 2014	1407570616	337	727	1064	727
Sat Aug 09 09:50:16 2014	1407570616	362	703	1065	702
Sat Aug 09 09:50:16 2014	1407570616	363	702	1065	702
Sat Aug 09 09:50:16 2014	1407570616	337	729	1066	729
Sat Aug 09 09:50:16 2014	1407570616	346	721	1067	721
Sat Aug 09 09:50:16 2014	1407570616	363	707	1069	707
Sat Aug 09 09:50:16 2014	1407570616	344	725	1069	725
Sat Aug 09 09:50:16 2014	1407570616	347	730	1077	730
Sat Aug 09 09:50:16 2014	1407570616	347	733	1080	733
Sat Aug 09 09:50:16 2014	1407570616	347	735	1082	735
Sat Aug 09 09:50:16 2014	1407570616	336	748	1083	748
Sat Aug 09 09:50:16 2014	1407570616	349	734	1084	734
Sat Aug 09 09:50:16 2014	1407570616	347	737	1084	737
Sat Aug 09 09:50:16 2014	1407570616	347	738	1084	738
Sat Aug 09 09:50:16 2014	1407570616	326	760	1085	760
